FIPS,loss_rate
01073,19.719
12031,17.941
18097,17.288
21111,31.258000000000003
26081,25.75
29095,15.75
31055,9.745
37081,16.147
37119,17.322000000000003
37183,17.068
39049,17.983
39061,18.658
39113,17.895
40109,19.465
40143,19.316
45045,19.207
47037,14.199
47093,13.772
47157,13.278
51760,14.704
MERGED,16.080363605904033
